iter	Logloss
0	0.6925905549
1	0.6922608968
2	0.6919076619
3	0.6916257265
4	0.6911874281
5	0.6906823774
6	0.6901474134
7	0.689871061
8	0.6891921798
9	0.6885666259
10	0.6880109274
11	0.6873748322
12	0.6869983309
13	0.6866131105
14	0.6862704272
15	0.6856850994
16	0.6852386768
17	0.6845514766
18	0.6840566358
19	0.6833855625
20	0.6828351026
21	0.682270621
22	0.6814091858
23	0.68090253
24	0.6807494609
25	0.6804836884
26	0.6798540339
27	0.6795316314
28	0.6790220186
29	0.6783430829
30	0.6777411744
31	0.6774483796
32	0.6769750163
33	0.6764600783
34	0.6757275489
35	0.675241688
36	0.6747603437
37	0.6740790571
38	0.6738575681
39	0.6731323268
40	0.672523082
41	0.6721739392
42	0.6713665547
43	0.670910227
44	0.6702025484
45	0.6698817723
46	0.6693125568
47	0.6688538194
48	0.6684779976
49	0.6682924627
50	0.6677963788
51	0.6671391656
52	0.6665681059
53	0.6660786757
54	0.6654834906
55	0.6650763674
56	0.6646066138
57	0.6641866999
58	0.6636700285
59	0.6632778129
60	0.6629772562
61	0.6623315105
62	0.6616766128
63	0.6613620769
64	0.6609853518
65	0.6605047825
66	0.6601530907
67	0.6595828353
68	0.658957693
69	0.6585076025
70	0.6579838078
71	0.6575467285
72	0.6568377257
73	0.6564748486
74	0.6559744747
75	0.6555333049
76	0.6552336376
77	0.6546536045
78	0.654281197
79	0.653642037
80	0.6532258833
81	0.6523582892
82	0.6519427956
83	0.6513464654
84	0.6509220699
85	0.6504772082
86	0.6500252723
87	0.6492710594
88	0.6485649876
89	0.6481772263
90	0.6480483015
91	0.647756611
92	0.6472844554
93	0.6467146384
94	0.6461141125
95	0.6456121144
96	0.6452787311
97	0.6450136058
98	0.6444351329
99	0.6439583411
100	0.6435535456
101	0.642880391
102	0.6425825514
103	0.6419288853
104	0.6415141966
105	0.6413070043
106	0.641144242
107	0.6408193069
108	0.6405460741
109	0.6402563219
110	0.6398229248
111	0.6394900127
112	0.6387668526
113	0.6384175417
114	0.6380111799
115	0.6375264483
116	0.6371244046
117	0.6368107079
118	0.6364533807
119	0.6360286035
120	0.6354805083
121	0.6349660243
122	0.6344898553
123	0.634158506
124	0.6335577859
125	0.6330121607
126	0.632614466
127	0.6323890495
128	0.6318987726
129	0.6314071948
130	0.6310227523
131	0.6306292783
132	0.6301570348
133	0.6298532576
134	0.6294724832
135	0.6292421799
136	0.6286872977
137	0.6283048272
138	0.6277998246
139	0.6273468207
140	0.627077974
141	0.6265668809
142	0.6264127226
143	0.6261170413
144	0.6257826311
145	0.625400529
146	0.6249085729
147	0.6246792666
148	0.6242863703
149	0.6238645452
150	0.6235646911
151	0.6232350452
152	0.6228559066
153	0.6222835404
154	0.6219263325
155	0.6215778658
156	0.6211066773
157	0.6208301604
158	0.6206367801
159	0.6204039848
160	0.6198028022
161	0.6194610776
162	0.6189814815
163	0.6185826724
164	0.6181745047
165	0.6177675622
166	0.6173437666
167	0.6168145471
168	0.6164966826
169	0.6162896106
170	0.615908524
171	0.615504622
172	0.6150954624
173	0.6147037337
174	0.6142148506
175	0.6137910289
176	0.6134675325
177	0.6127617871
178	0.6124178789
179	0.6120587674
180	0.6113715125
181	0.6109965963
182	0.6106658264
183	0.6101784401
184	0.6095590151
185	0.609220778
186	0.6089234903
187	0.6086698427
188	0.6084171039
189	0.6078791805
190	0.6071159214
191	0.6067696869
192	0.6064473723
193	0.6061624431
194	0.6054836013
195	0.6051900074
196	0.6049918035
197	0.6047021534
198	0.6043138544
199	0.6037896222
200	0.6035117309
201	0.6031481822
