iter	Passed	Remaining
0	10	10523
1	20	10194
2	29	9809
3	37	9260
4	43	8595
5	48	8115
6	54	7668
7	58	7257
8	63	6961
9	68	6755
10	72	6548
11	77	6391
12	82	6296
13	88	6252
14	93	6110
15	98	6028
16	102	5950
17	107	5856
18	111	5780
19	116	5732
20	121	5662
21	126	5607
22	130	5544
23	135	5519
24	140	5480
25	145	5433
26	150	5431
27	155	5394
28	160	5360
29	165	5339
30	170	5317
31	174	5283
32	179	5254
33	184	5240
34	189	5214
35	193	5191
36	198	5173
37	203	5154
38	208	5147
39	213	5122
40	218	5107
41	223	5089
42	227	5068
43	232	5044
44	237	5032
45	242	5039
46	248	5033
47	253	5020
48	257	5001
49	262	4983
50	267	4976
51	271	4957
52	276	4944
53	281	4936
54	286	4923
55	291	4908
56	295	4888
57	300	4880
58	305	4866
59	309	4853
60	314	4846
61	319	4834
62	324	4823
63	328	4811
64	334	4805
65	338	4788
66	342	4774
67	347	4765
68	352	4751
69	357	4746
70	361	4735
71	367	4730
72	371	4720
73	376	4710
74	381	4705
75	386	4696
76	390	4686
77	395	4677
78	400	4673
79	405	4664
80	410	4658
81	416	4660
82	420	4647
83	425	4645
84	431	4643
85	436	4637
86	441	4632
87	446	4623
88	451	4621
89	456	4620
90	461	4611
91	467	4613
92	472	4605
93	477	4600
94	483	4602
95	487	4594
96	492	4587
97	498	4590
98	503	4582
99	509	4581
100	514	4578
101	519	4571
102	524	4566
103	529	4560
104	534	4556
105	539	4547
106	543	4539
107	549	4535
108	554	4530
109	559	4525
110	564	4524
111	569	4518
112	574	4509
113	579	4506
114	585	4502
115	590	4497
116	595	4491
117	600	4488
118	605	4480
119	610	4476
120	616	4476
121	620	4468
122	625	4463
123	631	4461
124	636	4454
125	641	4450
126	647	4448
127	651	4437
128	656	4432
129	660	4421
130	666	4419
131	670	4408
132	675	4400
133	679	4393
134	684	4387
135	690	4386
136	697	4392
137	703	4392
138	709	4393
139	716	4399
140	721	4392
141	725	4384
142	731	4382
