Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2014/1/31,Marketable,Floating Rate Notes,15000.0775,0,15000.0775,5,2014,2,2014,1,1,31
2014/2/28,Marketable,Floating Rate Notes,28000.1665,0,28000.1665,5,2014,2,2014,1,2,28
2014/3/31,Marketable,Floating Rate Notes,41000.3172,0,41000.3172,5,2014,2,2014,1,3,31
2014/4/30,Marketable,Floating Rate Notes,56000.5639,0,56000.5639,5,2014,3,2014,2,4,30
2014/5/31,Marketable,Floating Rate Notes,68995.128,0,68995.128,5,2014,3,2014,2,5,31
2014/6/30,Marketable,Floating Rate Notes,81995.3971,0,81995.3971,5,2014,3,2014,2,6,30
2014/7/31,Marketable,Floating Rate Notes,96995.4947,0,96995.4947,5,2014,4,2014,3,7,31
2014/8/31,Marketable,Floating Rate Notes,109995.6612,0,109995.6612,5,2014,4,2014,3,8,31
2014/9/30,Marketable,Floating Rate Notes,122984.8191,5.6,122990.4191,5,2014,4,2014,3,9,30
2014/10/31,Marketable,Floating Rate Notes,137990.6092,0,137990.6092,5,2015,1,2014,4,10,31
2014/11/30,Marketable,Floating Rate Notes,150990.6816,0,150990.6816,5,2015,1,2014,4,11,30
2014/12/31,Marketable,Floating Rate Notes,163990.7828,0,163990.7828,5,2015,1,2014,4,12,31
2015/1/31,Marketable,Floating Rate Notes,163988.6678,2.115,163990.7828,5,2015,2,2015,1,1,31
2015/2/28,Marketable,Floating Rate Notes,191990.6446,0.595,191991.2396,5,2015,2,2015,1,2,28
2015/3/31,Marketable,Floating Rate Notes,204991.452,0,204991.452,5,2015,2,2015,1,3,31
2015/4/30,Marketable,Floating Rate Notes,220043.3773,2.995,220046.3723,5,2015,3,2015,2,4,30
2015/5/31,Marketable,Floating Rate Notes,233023.6978,22.695,233046.3928,5,2015,3,2015,2,5,31
2015/6/30,Marketable,Floating Rate Notes,246045.3663,0.78,246046.1463,5,2015,3,2015,2,6,30
2015/7/31,Marketable,Floating Rate Notes,261046.27,0,261046.27,5,2015,4,2015,3,7,31
2015/8/31,Marketable,Floating Rate Notes,274038.8586,7.165,274046.0236,5,2015,4,2015,3,8,31
