,signal,Return,totalreturn,profitline,loss_cut,interest,open_price,settlement day,ensuring_time
2011-05-01,1,0.07179606537978217,809.130859375,not crossed,safe,809.130859375,11269.849609375,2011-11-14,197
2011-08-01,1,0.14234355251316125,2413.3212890625,not crossed,safe,1604.1904296875,11269.849609375,2012-02-13,196
2011-11-01,1,0.0511205316390398,3030.7509765625,not crossed,safe,617.4296875,12077.919921875,2012-05-14,195
2012-02-01,1,0.023125037744604,3328.4111328125,not crossed,safe,297.66015625,12871.76953125,2012-08-13,194
2012-05-01,1,0.00945488795114299,3448.44140625,not crossed,safe,120.0302734375,12695.0498046875,2012-11-12,195
2012-08-01,1,0.06459467767515108,4299.03125,not crossed,safe,850.58984375,13168.1103515625,2013-02-12,195
2012-11-01,1,0.17823572658954986,6582.0009765625,not crossed,safe,2282.9697265625,12808.7099609375,2013-05-13,193
2013-02-01,1,0.09993647575514542,7982.98046875,not crossed,safe,1400.9794921875,14018.7001953125,2013-08-12,192
2013-05-01,1,0.0436657978449425,8641.970703125,not crossed,safe,658.990234375,15091.6796875,2013-11-12,195
2013-08-01,1,0.03522936428203402,9185.2314453125,not crossed,safe,543.2607421875,15420.6796875,2014-02-12,195
2013-11-01,1,0.06073704394199307,10141.2021484375,not crossed,safe,955.970703125,15739.5,2014-05-12,192
2014-02-01,1,0.038474271264206765,10754.7509765625,not crossed,safe,613.548828125,15946.990234375,2014-08-12,192
2014-05-01,1,0.054880431935618625,11671.0302734375,not crossed,safe,916.279296875,16695.919921875,2014-11-12,195
2014-08-01,1,0.08479483836285659,13075.8720703125,not crossed,safe,1404.841796875,16567.5390625,2015-02-12,195
2014-11-01,1,0.025515008753688295,13525.4130859375,not crossed,safe,449.541015625,17618.689453125,2015-05-12,192
2015-02-01,1,-0.031507131180835896,12959.2724609375,not crossed,safe,-566.140625,17968.650390625,2015-08-12,192
2015-05-01,1,-0.03443752716296069,12336.9736328125,not crossed,safe,-622.298828125,18070.369140625,2015-11-12,195
2015-08-01,1,-0.08204977978908239,10909.1728515625,not crossed,safe,-1427.80078125,17401.640625,2016-02-12,195
2015-11-01,1,0.01612741373625586,11190.4228515625,not crossed,safe,281.25,17439.25,2016-05-12,193
2016-02-01,1,0.16013106794073706,13754.50390625,not crossed,safe,2564.0810546875,16012.3896484375,2016-08-12,193
2016-05-01,1,0.06535839453785929,14912.07421875,not crossed,safe,1157.5703125,17711.119140625,2016-11-14,197
2016-08-01,1,0.09810159500146995,16735.64453125,not crossed,safe,1823.5703125,18588.58984375,2017-02-13,196
2016-11-01,1,0.10809076450866272,18774.04296875,not crossed,safe,2038.3984375,18858.2109375,2017-05-12,192
2017-02-01,1,0.07948722348563754,20393.533203125,not crossed,safe,1619.490234375,20374.220703125,2017-08-14,194
2017-05-01,1,0.12025008356748253,22909.6015625,not crossed,safe,2516.068359375,20923.630859375,2017-11-13,196
2017-08-01,1,0.1167212828723449,25480.9609375,not crossed,safe,2571.359375,22029.91015625,2018-02-12,195
2017-11-01,1,0.0646050922845785,26991.970703125,not crossed,safe,1511.009765625,23388.400390625,2018-05-14,194
2018-02-01,1,0.0263798057550195,27639.33984375,not crossed,safe,647.369140625,24540.330078125,2018-08-13,193
2018-05-01,1,0.02328252177329012,28216.96875,not crossed,safe,577.62890625,24809.55078125,2018-11-12,195
2018-08-01,1,0.008330936692828196,28427.0390625,not crossed,safe,210.0703125,25215.689453125,2019-02-12,195
2018-11-01,1,0.00014925419184447328,28430.818359375,not crossed,safe,3.779296875,25321.2109375,2019-05-13,193
2019-02-01,1,0.01630950008431574,28846.3984375,not crossed,safe,415.580078125,25480.859375,2019-08-12,192
2019-05-01,1,0.09090207510058575,31153.859375,not crossed,safe,2307.4609375,25384.029296875,2019-11-12,195
2019-08-01,1,0.14147150981127501,34816.3984375,not crossed,safe,3662.5390625,25888.880859375,2020-02-12,195
2019-11-01,1,-0.13964428031171894,30959.138671875,not crossed,safe,-3857.259765625,27622.0390625,2020-05-12,193
2020-02-01,1,-0.049571545075201805,29499.94921875,not crossed,safe,-1459.189453125,29436.029296875,2020-08-12,193
2020-05-01,1,0.22689956232562533,34877.958984375,not crossed,safe,5378.009765625,23702.16015625,2020-11-12,195
2020-08-01,1,0.12663226388599869,38413.849609375,not crossed,safe,3535.890625,27922.509765625,2021-02-12,195
2020-11-01,1,0.15010870832281942,42797.609375,not crossed,safe,4383.759765625,29203.900390625,2021-05-12,192
2021-02-01,1,0.1279791953495487,46825.380859375,not crossed,safe,4027.771484375,31472.080078125,2021-08-12,192
2021-05-01,1,0.07362348196715751,49300.951171875,not crossed,safe,2475.5703125,33624.73828125,2021-11-12,195
2021-08-01,1,-0.02771711727213085,48315.564453125,not crossed,safe,-985.38671875,35551.55859375,2022-02-14,197
2021-11-01,1,-0.12174564114096906,43917.037109375,not crossed,safe,-4398.52734375,36128.828125,2022-05-12,192
2022-02-01,1,-0.026671726917625833,42991.896484375,not crossed,safe,-925.140625,34686.19140625,2022-08-12,192
2022-05-01,1,0.049206819029499624,44564.736328125,not crossed,safe,1572.83984375,31963.859375,2022-11-14,197
2022-08-01,1,0.015877169004323205,45099.966796875,not crossed,safe,535.23046875,33710.69921875,2023-02-13,196
2022-11-01,1,-0.013488597667007926,44644.646484375,not crossed,safe,-455.3203125,33755.94140625,2023-05-12,192
2023-02-01,1,-0.02612933270289422,43751.177734375,not crossed,safe,-893.46875,34194.08984375,2023-05-12,100
2023-05-01,1,0.06289595942899547,45846.947265625,not crossed,safe,2095.76953125,33321.2109375,2023-11-28,211
