,signal,Return,totalreturn,profitline,loss_cut,interest,open_price
2014-09-01,1,0.05602617196646788,961.740234375,not crossed,safe,961.740234375,17165.91015625
2014-12-01,1,0.008250254607634719,1110.009765625,not crossed,safe,148.26953125,17971.509765625
2015-03-01,1,-0.0896821518314763,-516.53125,not crossed,safe,-1626.541015625,18136.73046875
2015-06-01,1,-0.04801736860353742,-1386.69140625,not crossed,safe,-870.16015625,18121.779296875
2015-09-01,1,0.0695750845082543,-240.271484375,not crossed,safe,1146.419921875,16477.44921875
2015-12-01,1,0.031953907132793544,311.046875,not crossed,safe,551.318359375,17253.55078125
2016-03-01,1,0.02995277272188632,838.296875,not crossed,safe,527.25,17602.7109375
2016-06-01,1,0.12044927945406855,2985.5859375,not crossed,safe,2147.2890625,17827.330078125
2016-09-01,1,0.15088931085129123,5726.484375,not crossed,safe,2740.8984375,18164.9609375
2016-12-01,1,0.07502489458009708,7224.654296875,not crossed,safe,1498.169921875,19968.970703125
2017-03-01,1,0.06949020941147985,8680.9140625,not crossed,safe,1456.259765625,20956.330078125
2017-06-01,1,0.15187740792474283,11941.173828125,not crossed,safe,3260.259765625,21466.390625
2017-09-01,1,0.10320549586274913,14254.423828125,not crossed,safe,2313.25,22414.01953125
2017-12-01,1,-0.004861478792877671,14133.96484375,not crossed,safe,-120.458984375,24778.259765625
2018-03-01,1,0.07820458260730184,16067.455078125,not crossed,safe,1933.490234375,24723.490234375
2018-06-01,1,-0.07222679868438868,14287.84375,not crossed,safe,-1779.611328125,24639.2109375
2018-09-01,1,-0.03668977421542491,13307.263671875,not crossed,safe,-980.580078125,26726.25
2018-12-01,1,0.16970416976257974,17188.693359375,not crossed,safe,3881.4296875,22871.740234375
2019-03-01,1,0.04852886691111738,18435.32421875,not crossed,safe,1246.630859375,25688.439453125
2019-06-01,1,0.06377670584800946,20141.294921875,not crossed,safe,1705.970703125,26749.119140625
2019-09-01,1,-0.28592381317872884,12463.826171875,not crossed,safe,-7677.46875,26851.44921875
2019-12-01,1,-0.08658000378535723,9997.0078125,not crossed,safe,-2466.818359375,28491.779296875
2020-03-01,1,0.42669678892114155,18116.34765625,not crossed,safe,8119.33984375,19028.359375
2020-06-01,1,0.15508995037035578,22173.40625,not crossed,safe,4057.05859375,26159.390625
2020-09-01,1,0.20466653737049836,27734.265625,not crossed,safe,5560.859375,27170.33984375
2020-12-01,1,0.12174653235291416,31411.03515625,not crossed,safe,3676.76953125,30200.19921875
2021-03-01,1,0.03912236361133628,32690.00390625,not crossed,safe,1278.96875,32691.5
2021-06-01,1,0.03128200544896282,33749.60546875,not crossed,safe,1059.6015625,33872.55859375
2021-09-01,1,0.01549946983866472,34276.984375,not crossed,safe,527.37890625,34025.609375
2021-12-01,1,-0.12943583455709376,29737.734375,not crossed,safe,-4539.25,35069.5
2022-03-01,1,-0.11210655812419966,25860.7265625,not crossed,safe,-3877.0078125,34583.23828125
2022-06-01,1,0.08227204296176524,28357.89453125,not crossed,safe,2497.16796875,30352.5703125
2022-09-01,1,0.04624327166186466,29783.083984375,not crossed,safe,1425.189453125,30819.390625
2022-12-01,1,0.031057843637121857,30808.865234375,not crossed,safe,1025.78125,33028.08984375
2023-03-01,1,0.05037397728255785,32442.025390625,not crossed,safe,1633.16015625,32420.7109375
2023-06-01,1,0.1094287096956956,36161.568359375,not crossed,safe,3719.54296875,33990.55859375
