,signal,Return,totalreturn,profitline,loss_cut,interest,open_price,settlement day,ensuring_time
2014-07-01,1,0.041897670798664514,683.849609375,not crossed,safe,683.849609375,16321.900390625,2014-10-28,119
2015-01-01,1,0.018816614550184022,1015.869140625,not crossed,safe,332.01953125,17645.01953125,2015-04-13,102
2015-07-01,1,-0.04688558078887319,173.119140625,not crossed,safe,-842.75,17974.609375,2015-10-12,103
2016-01-01,1,0.07228449348146074,1367.73828125,not crossed,safe,1194.619140625,16526.630859375,2016-04-12,102
2016-07-01,1,-0.011580467068163148,1155.158203125,not crossed,safe,-212.580078125,18356.779296875,2016-10-12,103
2017-01-01,1,0.03411520300689931,1834.478515625,not crossed,safe,679.3203125,19912.5390625,2017-04-12,101
2017-07-01,1,0.060538089955410525,3138.298828125,not crossed,safe,1303.8203125,21537.189453125,2017-10-12,103
2018-01-01,1,-0.05789558294022371,1633.73046875,not crossed,safe,-1504.568359375,25987.619140625,2018-04-12,101
2018-07-01,1,0.01660590364568723,2047.650390625,not crossed,safe,413.919921875,24926.0703125,2018-10-12,103
2019-01-01,1,0.10446516602711657,4545.841796875,not crossed,safe,2498.19140625,23914.109375,2019-04-12,101
2019-07-01,1,-0.02109762945104681,3968.51171875,not crossed,safe,-577.330078125,27364.689453125,2019-10-14,105
2020-01-01,1,-0.1905047660967971,-1536.21875,not crossed,safe,-5504.73046875,28895.5,2020-04-13,103
2020-07-01,1,0.10725431517895342,1257.130859375,not crossed,safe,2793.349609375,26044.169921875,2020-10-12,103
2021-01-01,1,0.08558879765893022,3917.6484375,not crossed,safe,2660.517578125,31084.880859375,2021-04-12,101
2021-07-01,1,-0.016636777563619094,3336.02734375,not crossed,safe,-581.62109375,34959.9609375,2021-10-12,103
2022-01-01,1,-0.05761458399782186,1243.8984375,not crossed,safe,-2092.12890625,36312.48828125,2022-04-12,101
2022-07-01,1,-0.049856871395936364,-288.8828125,not crossed,safe,-1532.78125,30743.630859375,2022-10-12,103
2023-01-01,1,-0.012584144104527666,-717.69140625,not crossed,safe,-428.80859375,34075.30859375,2023-04-12,101
