,signal,Return,totalreturn,profitline,loss_cut,interest,open_price,settlement day,ensuring_time
2014-09-15,1,0.02469091049776355,435.021484375,not crossed,safe,435.021484375,17618.689453125,2014-12-26,102
2014-12-15,1,-0.01424649201859706,179.03125,not crossed,safe,-255.990234375,17968.650390625,2015-03-27,102
2015-03-16,1,-0.0068448769453705776,55.341796875,not crossed,safe,-123.689453125,18070.369140625,2015-06-26,102
2015-06-15,1,-0.0804378740330698,-1344.4091796875,not crossed,safe,-1399.7509765625,17401.640625,2015-09-28,105
2015-09-21,1,0.005104550439382427,-1255.3896484375,not crossed,safe,89.01953125,17439.25,2015-12-28,98
2015-12-21,1,0.09511390929155383,267.611328125,not crossed,safe,1523.0009765625,16012.3896484375,2016-03-28,98
2016-03-21,1,-0.01701746993552007,-33.787109375,not crossed,safe,-301.3984375,17711.119140625,2016-06-28,99
2016-06-20,1,-0.013414121860289379,-283.13671875,not crossed,safe,-249.349609375,18588.58984375,2016-09-28,100
2016-09-19,1,0.051726473589297765,692.33203125,not crossed,safe,975.46875,18858.2109375,2016-12-28,100
2016-12-19,1,0.016063401964856592,1019.611328125,not crossed,safe,327.279296875,20374.220703125,2017-03-28,99
2017-03-20,1,0.025376977790978895,1550.58984375,not crossed,safe,530.978515625,20923.630859375,2017-06-28,100
2017-06-19,1,0.015946005226913623,1901.87890625,not crossed,safe,351.2890625,22029.91015625,2017-09-28,101
2017-09-18,1,0.06195846448656064,3350.98828125,not crossed,safe,1449.109375,23388.400390625,2017-12-28,101
2017-12-18,1,-0.02819481865350954,2659.078125,not crossed,safe,-691.91015625,24540.330078125,2018-03-28,100
2018-03-19,1,-0.02392223886812743,2065.578125,not crossed,safe,-593.5,24809.55078125,2018-06-28,101
2018-06-18,1,0.04927967946543699,3308.19921875,not crossed,safe,1242.62109375,25215.689453125,2018-09-28,102
2018-09-17,1,-0.08920626080839464,1049.388671875,not crossed,safe,-2258.810546875,25321.2109375,2018-12-28,102
2018-12-17,1,0.009285462433505542,1285.990234375,not crossed,safe,236.6015625,25480.859375,2019-03-28,101
2019-03-18,1,0.04790144332108425,2501.921875,not crossed,safe,1215.931640625,25384.029296875,2019-06-28,102
2019-06-17,1,0.03597564319925897,3433.291015625,not crossed,safe,931.369140625,25888.880859375,2019-09-27,102
2019-09-16,1,0.03704363391890703,4456.51171875,not crossed,safe,1023.220703125,27622.0390625,2019-12-27,102
2019-12-16,1,-0.26495591240724803,-3342.73828125,not crossed,safe,-7799.25,29436.029296875,2020-03-27,102
2020-03-16,1,0.05541227535135329,-2029.34765625,not crossed,safe,1313.390625,23702.16015625,2020-06-26,102
2020-06-15,1,-0.012121017114538177,-2367.796875,not crossed,safe,-338.44921875,27922.509765625,2020-09-28,105
2020-09-21,1,0.041092809400392456,-1167.7265625,not crossed,safe,1200.0703125,29203.900390625,2020-12-28,98
2020-12-21,1,0.05086409363954472,433.072265625,not crossed,safe,1600.798828125,31472.080078125,2021-03-26,95
2021-03-15,1,0.019584724927575528,1091.603515625,not crossed,safe,658.53125,33624.73828125,2021-06-28,105
2021-06-21,1,-0.03520437252278519,-159.966796875,not crossed,safe,-1251.5703125,35551.55859375,2021-09-28,99
2021-09-20,1,0.007456173545623409,109.416015625,not crossed,safe,269.3828125,36128.828125,2021-12-28,99
2021-12-20,1,0.007775405941552975,379.115234375,not crossed,safe,269.69921875,34686.19140625,2022-03-28,98
2022-03-21,1,-0.0318130901745966,-637.75390625,not crossed,safe,-1016.869140625,31963.859375,2022-06-28,99
2022-06-20,1,-0.11945640635466832,-4664.712890625,not crossed,safe,-4026.958984375,33710.69921875,2022-09-28,100
2022-09-19,1,-0.026076312260306954,-5544.943359375,not crossed,safe,-880.23046875,33755.94140625,2022-12-28,100
2022-12-19,1,-0.052635992125375286,-7344.783203125,not crossed,safe,-1799.83984375,34194.08984375,2023-03-28,99
2023-03-20,1,0.015949276865922724,-6813.333984375,not crossed,safe,531.44921875,33321.2109375,2023-06-28,100
