Date,Monthly Open,futures,Outlays - Receipts,US Bond,Outlays,Receipts,Government Account Series,State and Local Government Series,Principal Amount  Balance,Net Unamortized Amount Balance,Saving Bond typeI,Principal Amount Increase,Net Unamortized Amount Increase,Principal Amount Decrease,Net Unamortized Amount Decrease,Accrued Interest Balance,Accrued Interest Increase,Accrued Interest decrease
2001/1/31,2001/1/1,105.22,-76379,5.178999901,142836,219215,2348243,147898,,,,,,,,,,
2001/2/28,2001/2/1,106.33,48168,4.907999992,158649,110481,2354000,149904,,,,,,,,,,
2001/3/31,2001/3/1,106.2,50662,4.914999962,180736,130074,2360298,152887,,,,,,,,,,
2001/4/30,2001/4/1,103.78,-189796,5.337999821,141999,331796,2385627,154746,,,,,,,,,,
2001/5/31,2001/5/1,103.69,27919,5.413000107,153508,125590,2401909,155955,,,,,,,,,,
2001/6/30,2001/6/1,103.02,-31862,5.389999866,171025,202887,2474736,153322,,,,,,,,,,
2001/7/31,2001/7/1,106.11,-2820,5.037000179,125022,127842,2474826,149095,,,,,,,,,,
2001/8/31,2001/8/1,107.22,79990,4.815999985,202549,122559,2452553,147293,,,,,,,,,,
2001/9/30,2001/9/1,108.78,-35501,4.574999809,123110,158611,2492141,146364,,,,,,,,,,
2001/10/31,2001/10/1,111.52,7656,4.263000011,164819,157163,2508064,148631,,,498.61,,,,,,,
2001/11/30,2001/11/1,108.25,54267,4.743999958,175500,121233,2510442,148209,,,1083.4,,,,,,,
2001/12/31,2001/12/1,105.14,-26567,5.032000065,161347,187914,2574756,146246,,,280.45,,,,,,,
2002/1/31,2002/1/1,105.88,-43729,5.025000095,159723,203452,2584822,143196,,,597.38,,,,,,,
2002/2/28,2002/2/1,107.25,76056,4.859000206,174018,97962,2588053,141823,,,456.62,,,,,,,
2002/3/31,2002/3/1,102.45,64238,5.406000137,175458,111220,2589665,141053,,,294.01,,,,,,,
2002/4/30,2002/4/1,105.56,-67170,5.09100008,170257,237426,2610543,140295,,,10310.87,,,,,,,
2002/5/31,2002/5/1,106.73,80631,5.043000221,183127,102496,2586992,146380,,,1830.04,,,,,,,
2002/6/30,2002/6/1,107.23,-29071,4.823999882,153562,182633,2691373,142746,,,1517.5,,,,,,,
2002/7/31,2002/7/1,110.61,29159,4.465000153,163568,134409,2689163,134840,,,2059.5,,,,,,,
2002/8/31,2002/8/1,113.17,54709,4.137000084,179328,124619,2683462,141631,,,2431.81,,,,,,,
2002/9/30,2002/9/1,115.91,-42388,3.607000113,150310,192698,2707295,144286,,,3318.41,,,,,,,
2002/10/31,2002/10/1,114.72,54072,3.911000013,178615,124543,2743628,149573,,,405958.97,,,,,,,
2002/11/30,2002/11/1,112.52,58883,4.212999821,178901,120017,2742628,154090,,,6770151.85,,,,,,,
2002/12/31,2002/12/1,115.05,-4719,3.818000078,178069,182787,2806946,153398,,,13653211.24,,,,,,,
2003/1/31,2003/1/1,113.92,-10633,3.974999905,177251,187884,2814641,148574,,,24563629.29,,,,,,,
2003/2/28,2003/2/1,116.72,96663,3.696000099,186140,89477,2780528,149561,,,13953873.19,,,,,,,
2003/3/31,2003/3/1,114.88,58877,3.822999954,179234,120358,2736824,148826,,,16071601.67,,,,,,,
2003/4/30,2003/4/1,115.12,-51066,3.857000113,180094,231160,2754240,145741,,,45873430.35,,,,,,,
2003/5/31,2003/5/1,119.06,88867,3.349999905,192278,103411,2819235,140651,,,44931009.2,,,,,,,
2003/6/30,2003/6/1,117.44,-21230,3.528000116,171814,193043,2905466,140497,,,42691143.75,,,,,,,
2003/7/31,2003/7/1,110.62,54240,4.473999977,177792,123551,2900910,146673,,,64850787.58,,,,,,,
2003/8/31,2003/8/1,111.53,76587,4.453999996,190830,114243,2895158,149855,,,92157740.44,,,,,,,
2003/9/30,2003/9/1,114.62,-23402,3.937000036,168229,191632,2912216,148366,,,111368912.2,,,,,,,
2003/10/31,2003/10/1,112.3,69545,4.301000118,205370,135825,2935227,149094,,,225515632.8,,,,,,,
2003/11/30,2003/11/1,112.41,42971,4.320000172,161179,118207,2945370,148346,,,36361799.36,,,,,,,
2003/12/31,2003/12/1,112.27,17640,4.256999969,204370,186730,3006980,149189,,,30584933.05,,,,,,,
2004/1/31,2004/1/1,113.44,1633,4.138000011,186802,185169,3016822,147438,,,45973688.17,,,,,,,
2004/2/29,2004/2/1,115.38,96701,3.983999968,188709,92009,3019670,147603,,,22520541.95,,,,,,,
2004/3/31,2004/3/1,115.41,72913,3.836999893,205337,132425,3008617,155712,,,25508219.42,,,,,,,
2004/4/30,2004/4/1,110.5,-17578,4.500999928,202513,220091,3029036,161634,,,19309640.31,,,,,,,
2004/5/31,2004/5/1,109.88,62463,4.65500021,177913,115450,3045225,161058,,,62741830.52,,,,,,,
2004/6/30,2004/6/1,109.33,-19124,4.617000103,195258,214382,3111724,161474,,,43521656.55,,,,,,,
2004/7/31,2004/7/1,110.72,69160,4.474999905,203575,134415,3105732,156803,,,35029475.8,,,,,,,
2004/8/31,2004/8/1,113.47,41132,4.131999969,178861,137729,3110630,154923,,,33704551.12,,,,,,,
2004/9/30,2004/9/1,112.62,-24611,4.118999958,182740,207351,3129990,158214,,,27207807.06,,,,,,,
2004/10/31,2004/10/1,113.56,56618,4.028999805,193514,136896,3121569,160523,,,25194824.97,,,,,,,
2004/11/30,2004/11/1,111.45,57170,4.357999802,191717,134547,3158863,157754,,,70677696.29,,,,,,,
2004/12/31,2004/12/1,111.94,2561,4.21600008,218310,215749,3230551,160682,,,67380061.2,,,,,,,
2005/1/31,2005/1/1,112.27,-8106,4.132999897,194111,202217,3243619,163754,,,86591360.23,,,,,,,
2005/2/28,2005/2/1,110.88,113789,4.359000206,214660,100871,3249385,164008,,,38777236.27,,,,,,,
2005/3/31,2005/3/1,109.27,71724,4.495999813,220483,148759,3248893,179005,,,32232450.6,,,,,,,
2005/4/30,2005/4/1,111.42,-57924,4.201000214,219690,277614,3259619,189033,,,27072918.71,,,,,,,
2005/5/31,2005/5/1,112.84,36190,4.006000042,188920,152731,3282156,200362,,,122194104.6,,,,,,,
2005/6/30,2005/6/1,113.47,-22473,3.944999933,212335,234808,3356344,206744,,,70901287.64,,,,,,,
2005/7/31,2005/7/1,110.98,53395,4.285999775,195487,142092,3354424,213051,,,54423726.74,,,,,,,
2005/8/31,2005/8/1,112.92,51036,4.019999981,206474,155438,3360856,217724,,,53248142.97,,,,,,,
2005/9/30,2005/9/1,109.92,-35234,4.328000069,216394,251628,3380605,225283,,,39459209.24,,,,,,,
2005/10/31,2005/10/1,108.45,47277,4.559000015,196764,149488,3426716,226929,4650516,-35994,143672748,332366,-3317,283089,-2854,42249,14724,7436
2005/11/30,2005/11/1,108.73,83072,4.5,221911,138840,3432818,231467,4709403,-36370,321140491,388842,-3420,329955,-3044,29717,16617,23149
2005/12/31,2005/12/1,109.41,-10967,4.394999981,230916,241883,3506577,235566,4714821,-36826,252893763.4,406039,-3880,400621,-3424,40196,14014,3535
2006/1/31,2006/1/1,108.44,-20964,4.52699995,209045,230010,3523210,233441,4724637,-36859,321571167.3,347391,-3440,337575,-3407,42944,10920,8172
2006/2/28,2006/2/1,108,119237,4.546999931,232091,112853,3513085,234545,4771117,-37870,154372767.9,348989,-3981,302509,-2970,27100,11011,26855
2006/3/31,2006/3/1,106.39,85281,4.853000164,249843,164563,3551185,234844,4872485,-38960,139237796.6,505283,-5059,403915,-3969,36621,16073,6552
