,0
0,2004-01-19
1,2004-02-16
2,2004-03-15
3,2004-04-19
4,2004-05-17
5,2004-06-21
6,2004-07-19
7,2004-08-16
8,2004-09-20
9,2004-10-18
10,2004-11-15
11,2004-12-20
12,2005-01-17
13,2005-02-21
14,2005-03-21
15,2005-04-18
16,2005-05-16
17,2005-06-20
18,2005-07-18
19,2005-08-15
20,2005-09-19
21,2005-10-17
22,2005-11-21
23,2005-12-19
24,2006-01-16
25,2006-02-20
26,2006-03-20
27,2006-04-17
28,2006-05-15
29,2006-06-19
30,2006-07-17
31,2006-08-21
32,2006-09-18
33,2006-10-16
34,2006-11-20
35,2006-12-18
36,2007-01-15
37,2007-02-19
38,2007-03-19
39,2007-04-16
40,2007-05-21
41,2007-06-18
42,2007-07-16
43,2007-08-20
44,2007-09-17
45,2007-10-15
46,2007-11-19
47,2007-12-17
48,2008-01-21
49,2008-02-18
50,2008-03-17
51,2008-04-21
52,2008-05-19
53,2008-06-16
54,2008-07-21
55,2008-08-18
56,2008-09-15
57,2008-10-20
58,2008-11-17
59,2008-12-15
60,2009-01-19
61,2009-02-16
62,2009-03-16
63,2009-04-20
64,2009-05-18
65,2009-06-15
66,2009-07-20
67,2009-08-17
68,2009-09-21
69,2009-10-19
70,2009-11-16
71,2009-12-21
72,2010-01-18
73,2010-02-15
74,2010-03-15
75,2010-04-19
76,2010-05-17
77,2010-06-21
78,2010-07-19
79,2010-08-16
80,2010-09-20
81,2010-10-18
82,2010-11-15
83,2010-12-20
84,2011-01-17
85,2011-02-21
86,2011-03-21
87,2011-04-18
88,2011-05-16
89,2011-06-20
90,2011-07-18
91,2011-08-15
92,2011-09-19
93,2011-10-17
94,2011-11-21
95,2011-12-19
96,2012-01-16
97,2012-02-20
98,2012-03-19
99,2012-04-16
100,2012-05-21
101,2012-06-18
102,2012-07-16
103,2012-08-20
104,2012-09-17
105,2012-10-15
106,2012-11-19
107,2012-12-17
108,2013-01-21
109,2013-02-18
110,2013-03-18
111,2013-04-15
112,2013-05-20
113,2013-06-17
114,2013-07-15
115,2013-08-19
116,2013-09-16
117,2013-10-21
118,2013-11-18
119,2013-12-16
120,2014-01-20
121,2014-02-17
122,2014-03-17
123,2014-04-21
124,2014-05-19
125,2014-06-16
126,2014-07-21
127,2014-08-18
128,2014-09-15
129,2014-10-20
130,2014-11-17
131,2014-12-15
132,2015-01-19
133,2015-02-16
134,2015-03-16
135,2015-04-20
136,2015-05-18
137,2015-06-15
138,2015-07-20
139,2015-08-17
140,2015-09-21
141,2015-10-19
142,2015-11-16
143,2015-12-21
144,2016-01-18
145,2016-02-15
146,2016-03-21
147,2016-04-18
148,2016-05-16
149,2016-06-20
150,2016-07-18
151,2016-08-15
152,2016-09-19
153,2016-10-17
154,2016-11-21
155,2016-12-19
156,2017-01-16
157,2017-02-20
158,2017-03-20
159,2017-04-17
160,2017-05-15
161,2017-06-19
162,2017-07-17
163,2017-08-21
164,2017-09-18
165,2017-10-16
166,2017-11-20
167,2017-12-18
168,2018-01-15
169,2018-02-19
170,2018-03-19
171,2018-04-16
172,2018-05-21
173,2018-06-18
174,2018-07-16
175,2018-08-20
176,2018-09-17
177,2018-10-15
178,2018-11-19
179,2018-12-17
180,2019-01-21
181,2019-02-18
182,2019-03-18
183,2019-04-15
184,2019-05-20
185,2019-06-17
186,2019-07-15
187,2019-08-19
188,2019-09-16
189,2019-10-21
190,2019-11-18
191,2019-12-16
192,2020-01-20
193,2020-02-17
194,2020-03-16
195,2020-04-20
196,2020-05-18
197,2020-06-15
198,2020-07-20
199,2020-08-17
200,2020-09-21
201,2020-10-19
202,2020-11-16
203,2020-12-21
204,2021-01-18
205,2021-02-15
206,2021-03-15
207,2021-04-19
208,2021-05-17
209,2021-06-21
210,2021-07-19
211,2021-08-16
212,2021-09-20
213,2021-10-18
214,2021-11-15
215,2021-12-20
216,2022-01-17
217,2022-02-21
218,2022-03-21
219,2022-04-18
220,2022-05-16
221,2022-06-20
222,2022-07-18
223,2022-08-15
224,2022-09-19
225,2022-10-17
226,2022-11-21
227,2022-12-19
228,2023-01-16
229,2023-02-20
230,2023-03-20
231,2023-04-17
232,2023-05-15
233,2023-06-19
234,2023-07-17
235,2023-08-21
236,2023-09-18
