,column,corr,C
0,"['AII','SLGS','SBI','SS'],",0.21033353531577265,"15
"
1,"['AID','Bond','bond1','PAI'],",0.22917462425705282,"70
"
3,"['SS','PAD','SBEE','NUAB'],",0.14870813293635052,"95
"
4,"['SBEE','PAD','Receipts','SS'],",0.21005023777259513,"95
"
5,"['AII','bond2','NUAB','AID'],",0.19507015991273183,"55
"
6,"['NUAB','PAI','NUAD','bond2'],",0.18039593813928767,"45
"
7,"['bond2','GAS','PAD','AIPA'],",0.24482305890331896,"35
"
9,"['PAD','SBI','AIPA','bond2'],",0.15498260496951669,"15
"
10,"['SBEE','Bond','SS','AID'],",0.2641423086558277,"45
"
11,"['SLGS','SBEE','SS','PAB'],",0.21323529411764705,"40
"
13,"['AID','SBI','SBEE','bond2'],",0.1840774878972323,"10
"
15,"['bond1','GAS','SBEE','PAI'],",0.1494475119348911,"40
"
16,"['PAI','bond1','NUAI','SBI'],",0.21934449608111703,"30
"
17,"['NUAB','SLGS','bond1','SBI'],",0.18190171877724973,"15
"
18,"['Bond','PAD','DS','bond2'],",0.1661516025863633,"10
"
19,"['PAB','AII','NUAI','bond1'],",0.15800239124487245,"25
"
23,"['PAD','bond1','NUAB','NUAI'],",0.15257352941176472,"60
"
24,"['bond2','Bond','SBEE','GAS'],",0.23581055457094965,"95
"
26,"['SBI','NUAD','SS','bond1'],",0.15073529411764705,"95
"
27,"['AID','Bond','NUAB','bond2'],",0.2071042173948785,"25
"
33,"['bond2','PAI','SS','SBEE'],",0.2410410845153453,"55
"
34,"['SBI','bond1','NUAB','NUAD'],",0.17991907953116043,"55
"
36,"['SS','SBI','AII','GAS'],",0.2113970588235294,"15
"
37,"['AII','bond2','PAI','NUAD'],",0.24253562503633297,"5
"
41,"['bond2','AIPA','PAD','PAI'],",0.24063513532216324,"10
"
46,"['GAS','Bond','bond2','SLGS'],",0.2575683664867139,"50
"
55,"['bond1','PAI','Receipts','bond2'],",0.21586862835039825,"95
"
66,"['AIPA','SS','PAI','PAD'],",0.17955083174038333,"15
"
67,"['NUAB','PAB','bond2','PAI'],",0.223741136481082,"20
"
78,"['NUAD','bond1','DS','NUAB'],",0.24114150914537433,"40
"
92,"['bond1','PAD','AID','NUAB'],",0.18695498975029606,"70
"
96,"['Receipts','bond2','SBI','PAI'],",0.2522522977486172,"45
"
99,"['GAS','SS','NUAB','PAI'],",0.24803929333207597,"45
"
