,signal,Return,totalreturn,profitline,loss_cut,interest,open_price,settlement day,ensuring_time
2014-08-01,1.0,0.0926,6.708869717407227,crossed,safe,6.708869717407227,72.44999694824219,2015-01-07,159
2014-11-01,0.0,-0.0035904824922635705,6.438865444946289,not crossed,safe,-0.2700042724609375,75.19999694824219,2015-05-12,192
2015-02-01,0.0,0.10149999999999999,14.639050537872315,crossed,safe,8.200185092926025,80.79000091552734,2015-06-25,144
2015-05-01,0.0,0.1015,22.353050537872313,crossed,safe,7.714,76.0,2015-09-04,126
2015-08-01,0.0,0.1015,30.00006016616821,crossed,safe,7.647009628295899,75.33999633789062,2016-01-20,172
2015-11-01,0.0,0.1015,37.44914510421753,crossed,safe,7.4490849380493165,73.38999938964844,2016-02-11,102
2016-02-01,0.0,-0.114,29.746165139007566,not crossed,Losscut.,-7.702979965209961,67.56999969482422,2016-03-11,39
2016-05-01,0.0,0.05684261280160087,34.2361630027771,not crossed,safe,4.489997863769531,78.98999786376953,2016-11-14,197
2016-08-01,0.0,0.1015,42.71242821960449,crossed,safe,8.476265216827393,83.51000213623047,2016-11-01,92
2016-11-01,1.0,0.036052837097704536,45.41242516784668,not crossed,safe,2.6999969482421875,74.88999938964844,2017-05-12,192
2017-02-01,0.0,-0.02048607565051294,43.802424557495115,not crossed,safe,-1.6100006103515625,78.58999633789062,2017-08-14,194
2017-05-01,1.0,0.06700163519324359,49.0024215057373,not crossed,safe,5.1999969482421875,77.61000061035156,2017-11-13,196
2017-08-01,1.0,-0.07871645619687014,42.72242272644043,not crossed,safe,-6.279998779296875,79.77999877929688,2018-02-12,195
2017-11-01,1.0,-0.06728788265043495,37.16242516784668,not crossed,safe,-5.55999755859375,82.62999725341797,2018-05-14,194
2018-02-01,0.0,-0.114,28.789125515747067,not crossed,Losscut.,-8.37329965209961,73.44999694824219,2018-07-06,155
2018-05-01,1.0,0.0926,35.874877204895014,crossed,safe,7.0857516891479495,76.5199966430664,2018-08-20,111
2018-08-01,1.0,0.03786666601208014,38.934882392883296,not crossed,safe,3.0600051879882812,80.80999755859375,2019-02-12,195
2018-11-01,1.0,0.0926,46.380848731994625,crossed,safe,7.445966339111329,80.41000366210938,2019-04-05,155
2019-02-01,1.0,0.0926,54.11017084503173,crossed,safe,7.729322113037109,83.47000122070312,2019-07-10,159
2019-05-01,1.0,0.0926,62.166370845031736,crossed,safe,8.0562,87.0,2019-10-21,173
2019-08-01,1.0,0.08210916206466368,69.65636870880127,not crossed,safe,7.489997863769531,91.22000122070312,2020-02-12,195
2019-11-01,0.0,0.1015,78.87662833709717,crossed,safe,9.2202596282959,90.83999633789062,2020-03-12,132
2020-02-01,0.0,0.1015,88.88655861587526,crossed,safe,10.009930278778079,98.62000274658205,2020-02-28,27
2020-05-01,1.0,0.0926,95.38337495498659,crossed,safe,6.496816339111328,70.16000366210938,2020-05-26,25
2020-08-01,1.0,0.08454461680403766,102.36337831192019,not crossed,safe,6.980003356933594,82.55999755859375,2021-02-12,195
2020-11-01,1.0,0.0926,110.1538160575867,crossed,safe,7.790437745666504,84.12999725341797,2021-03-15,134
2021-02-01,1.0,0.09259999999999999,118.44984971847536,crossed,safe,8.296033660888671,89.58999633789062,2021-04-21,79
2021-05-01,0.0,-0.114,107.58792985763552,not crossed,Losscut.,-10.861919860839844,95.27999877929688,2021-07-12,72
2021-08-01,1.0,0.0926,117.46834957504274,crossed,safe,9.880419717407229,106.6999969482422,2021-12-31,152
2021-11-01,1.0,-0.1375,102.3337246170044,not crossed,Losscut.,-15.134624958038332,110.06999969482422,2022-05-10,190
2022-02-01,1.0,0.0926,111.87708039093019,crossed,safe,9.543355773925782,103.05999755859376,2022-04-21,79
2022-05-01,0.0,0.1015,121.53886563873291,crossed,safe,9.661785247802733,95.19000244140624,2022-09-23,145
2022-08-01,0.0,0.1015,131.94566051483156,crossed,safe,10.406794876098633,102.52999877929688,2022-09-15,45
2022-11-01,1.0,0.0926,140.02130643005373,crossed,safe,8.075645915222168,87.20999908447266,2023-02-02,93
2023-02-01,0.0,0.1015,149.35829121322632,crossed,safe,9.336984783172607,91.98999786376952,2023-03-10,37
2023-05-01,1.0,0.020381576408852378,151.07829243392945,not crossed,safe,1.720001220703125,84.38999938964844,2023-06-29,59
