,signal,Return,totalreturn,profitline,loss_cut,interest,open_price
2014-09-01,0.0,-0.08140000000000001,-6.533977726745607,not crossed,Losscut.,-6.533977726745607,80.2699966430664
2014-12-01,0.0,0.0542,-1.515057809448244,crossed,safe,5.018919917297363,92.5999984741211
2015-03-01,0.0,0.0542,3.740174140930174,crossed,safe,5.255231950378418,96.95999908447266
2015-06-01,0.0,0.0542,8.450696339416503,crossed,safe,4.710522198486328,86.91000366210938
2015-09-01,1.0,0.054200000000000005,13.110812521362304,crossed,safe,4.660116181945801,85.9800033569336
2015-12-01,1.0,0.0542,17.99585837249756,crossed,safe,4.885045851135254,90.12999725341797
2016-03-01,1.0,0.0542,23.008816256713867,crossed,safe,5.012957884216308,92.48999786376953
2016-06-01,1.0,0.0542,28.185458372497557,crossed,safe,5.176642115783691,95.51000213623047
2016-09-01,1.0,-0.0506788216178887,23.29545898284912,not crossed,safe,-4.8899993896484375,96.48999786376953
2016-12-01,0.0,-0.009469463580416634,22.41546172943115,not crossed,safe,-0.8799972534179688,92.93000030517578
2017-03-01,1.0,0.010356447328859496,23.365458677673338,not crossed,safe,0.9499969482421875,91.7300033569336
2017-06-01,0.0,0.019708171400719246,25.215464781188963,not crossed,safe,1.850006103515625,93.87000274658203
2017-09-01,0.0,0.0542,30.228422665405272,crossed,safe,5.012957884216308,92.48999786376953
2017-12-01,0.0,0.0542,35.23433469848633,crossed,safe,5.005912033081055,92.36000061035156
2018-03-01,0.0,-0.08140000000000001,28.289286723327635,not crossed,Losscut.,-6.945047975158692,85.31999969482422
2018-06-01,0.0,0.039604035186689805,31.929293742370604,not crossed,safe,3.6400070190429688,91.91000366210938
2018-09-01,1.0,0.011623043040330497,33.039294352722166,not crossed,safe,1.1100006103515625,95.5
2018-12-01,1.0,0.0542,37.82840638580322,crossed,safe,4.789112033081055,88.36000061035156
2019-03-01,1.0,0.0542,43.055996220397944,crossed,safe,5.227589834594727,96.44999694824219
2019-06-01,0.0,0.0542,48.625588336181636,crossed,safe,5.569592115783691,102.76000213623047
2019-09-01,0.0,0.0542,54.22824248504638,crossed,safe,5.602654148864746,103.37000274658203
2019-12-01,0.0,0.0542,59.685640617370595,crossed,safe,5.457398132324219,100.69000244140625
2020-03-01,0.0,0.0542,63.00105451812743,crossed,safe,3.3154139007568357,61.16999816894531
2020-06-01,0.0,0.0542,67.3126646835327,crossed,safe,4.311610165405273,79.55000305175781
2020-09-01,1.0,0.05419999999999999,71.45679663391113,crossed,safe,4.1441319503784175,76.45999908447266
2020-12-01,1.0,0.0542,76.04482671661376,crossed,safe,4.588030082702637,84.6500015258789
2021-03-01,1.0,0.0542,81.1190308654785,crossed,safe,5.074204148864746,93.62000274658203
2021-06-01,1.0,0.0542,86.90433874969482,crossed,safe,5.785307884216309,106.73999786376953
2021-09-01,1.0,0.0542,92.7866646835327,crossed,safe,5.88232593383789,108.52999877929688
2021-12-01,1.0,0.0542,99.1155985015869,crossed,safe,6.328933818054199,116.7699966430664
2022-03-01,1.0,0.05419999999999999,105.3079485015869,crossed,safe,6.192349999999999,114.25
2022-06-01,1.0,0.0542,110.25044663391112,crossed,safe,4.942498132324219,91.19000244140625
2022-09-01,1.0,0.0542,115.20974663391112,crossed,safe,4.9593,91.5
2022-12-01,1.0,0.054200000000000005,119.91755866699218,crossed,safe,4.707812033081055,86.86000061035156
2023-03-01,1.0,0.05419999999999999,124.61940866699217,crossed,safe,4.701849999999999,86.75
2023-06-01,0.0,-0.014322818300290979,123.34940439453123,not crossed,safe,-1.2700042724609375,88.66999816894531
