,signal,Return,totalreturn,profitline,loss_cut,interest,open_price
2014-09-01,1,0.20904456347876074,16.780006408691406,not crossed,safe,16.780006408691406,80.2699966430664
2014-12-01,1,-0.05993515673668545,11.230010986328125,not crossed,safe,-5.549995422363281,92.5999984741211
2015-03-01,1,-0.10757013617635296,0.8000106811523438,not crossed,safe,-10.430000305175781,96.95999908447266
2015-06-01,1,0.034863636539206364,3.8300094604492188,not crossed,safe,3.029998779296875,86.91000366210938
2015-09-01,1,0.07629678183845685,10.390007019042969,not crossed,safe,6.55999755859375,85.9800033569336
2015-12-01,1,0.05758351935608687,15.580009460449219,not crossed,safe,5.19000244140625,90.12999725341797
2016-03-01,1,0.040544924712004576,19.33000946044922,not crossed,safe,3.75,92.48999786376953
2016-06-01,1,-0.02805989158447687,16.650009155273438,not crossed,safe,-2.6800003051757812,95.51000213623047
2016-09-01,1,-0.0506788216178887,11.760009765625,not crossed,safe,-4.8899993896484375,96.48999786376953
2016-12-01,1,0.009469463580416634,12.640007019042969,not crossed,safe,0.8799972534179688,92.93000030517578
2017-03-01,1,0.010356447328859496,13.590003967285156,not crossed,safe,0.9499969482421875,91.7300033569336
2017-06-01,1,-0.019708171400719246,11.739997863769531,not crossed,safe,-1.850006103515625,93.87000274658203
2017-09-01,1,-0.07687318385306952,4.629997253417969,not crossed,safe,-7.1100006103515625,92.48999786376953
2017-12-01,1,-0.005088796206119211,4.159996032714844,not crossed,safe,-0.470001220703125,92.36000061035156
2018-03-01,1,0.11990158689081873,14.389999389648438,not crossed,safe,10.230003356933594,85.31999969482422
2018-06-01,1,-0.039604035186689805,10.749992370605469,not crossed,safe,-3.6400070190429688,91.91000366210938
2018-09-01,1,0.011623043040330497,11.859992980957031,not crossed,safe,1.1100006103515625,95.5
2018-12-01,1,0.16693073673736492,26.60999298095703,not crossed,safe,14.75,88.36000061035156
2019-03-01,1,0.08087095177352381,34.409996032714844,not crossed,safe,7.8000030517578125,96.44999694824219
2019-06-01,1,-0.010509943641524189,33.329994201660156,not crossed,safe,-1.0800018310546875,102.76000213623047
2019-09-01,1,-0.3971171709494334,-7.720008850097656,not crossed,safe,-41.05000305175781,103.37000274658203
2019-12-01,1,-0.21869106900930774,-29.740013122558594,not crossed,safe,-22.020004272460938,100.69000244140625
2020-03-01,1,0.24783397279560132,-14.580009460449219,not crossed,safe,15.160003662109375,61.16999816894531
2020-06-01,1,0.0620992410119406,-9.6400146484375,not crossed,safe,4.939994812011719,79.55000305175781
2020-09-01,1,0.22678530179065265,7.699989318847656,not crossed,safe,17.340003967285156,76.45999908447266
2020-12-01,1,0.26072060598932245,29.769989013671875,not crossed,safe,22.06999969482422,84.6500015258789
2021-03-01,1,0.152745086550271,44.069984436035156,not crossed,safe,14.299995422363281,93.62000274658203
2021-06-01,1,0.08487919589010498,53.12998962402344,not crossed,safe,9.060005187988281,106.73999786376953
2021-09-01,1,0.048465882202090874,58.389991760253906,not crossed,safe,5.260002136230469,108.52999877929688
2021-12-01,1,-0.21058488520005225,33.79999542236328,not crossed,safe,-24.589996337890625,116.7699966430664
2022-03-01,1,-0.2039387575646198,10.499992370605469,not crossed,safe,-23.300003051757812,114.25
2022-06-01,1,-0.053733977351600376,5.5999908447265625,not crossed,safe,-4.900001525878906,91.19000244140625
2022-09-01,1,-0.05999997665321892,0.10999298095703125,not crossed,safe,-5.489997863769531,91.5
2022-12-01,1,0.02613396991843768,2.3799896240234375,not crossed,safe,2.2699966430664062,86.86000061035156
2023-03-01,1,0.027435126840552954,4.759986877441406,not crossed,safe,2.3799972534179688,86.75
2023-06-01,1,0.014322818300290979,6.029991149902344,not crossed,safe,1.2700042724609375,88.66999816894531
